indicator,ISO Country code,Population (2018.0),Surface area (Km2) (2018.0),% of population in extreme poverty (latest year),% of population with access to electricity (2020.0),Happy planet index (2016.0),Happy planet index (2019),Human dev index (2017.0),Human dev index (2021),Unemployment (%) (2018.0),Unemployment (%) (2021.0),Economic Growth (2018.0),Economic Growth (2021 or latest)
Peru,PER,32000000.0,1279996.0,1.8,99.3118133544922,34.6,55.9,0.75,0.762,4.9,4.83300018310547,3.969351341365,13.3495090777977
Philippines,PHL,105000000.0,298170.0,0.5,96.8423843383789,35.0,57.1,0.699,0.699,5.9,2.40599989891052,6.34148557153473,5.70315596840621
Poland,POL,38000000.0,304255.0,0.1,100.0,27.5,45.0,0.865,0.876,6.2,3.36800003051758,5.35370335471698,5.73258169571089
Portugal,PRT,10000000.0,91470.0,0.2,100.0,24.8,46.3,0.847,0.866,11.2,6.64699983596802,2.84932593436179,4.88121010306581
Qatar,QAT,2600000.0,11586.0,,100.0,-,24.3,0.856,0.855,0.2,0.257999986410141,1.23487219150027,1.52339735592098
Romania,ROU,20000000.0,229891.0,0.8,100.0,28.8,46.2,0.811,0.821,6.4,5.16900014877319,4.47452377497343,5.87966788545822
Russia,RUS,144000000.0,16377742.0,0.0,100.0,18.7,34.9,0.816,0.822,5.7,5.01000022888184,2.80724541049418,4.81979165963526
Rwanda,RWA,12000000.0,24668.0,,100.0,19.6,39.2,0.524,0.534,2.5,1.60699999332428,8.57943753725192,10.88451916081
Saudi Arabia,SAU,33000000.0,2149690.0,,100.0,-,41.6,0.853,0.875,5.5,7.35799980163574,2.51416579969228,3.2409297684805
Senegal,SEN,16000000.0,192530.0,1.8,70.3689422607422,21.9,51.2,0.505,0.511,9.5,3.72300004959106,6.20924103389086,6.06449596752137
Serbia,SRB,7000000.0,77474.0,1.2,100.0,29.0,53.2,0.787,0.802,16.5,11.8070001602173,4.4951212927627,7.3892708902237
Sierra Leone,SLE,8000000.0,71620.0,6.0,26.2008857727051,15.3,29.0,0.419,0.477,3.0,5.33300018310547,3.46460213996657,3.05020269465146
Singapore,SGP,6000000.0,709.2,,100.0,-,45.5,0.932,0.939,1.8,3.62400007247925,3.66130499436235,7.61396261502647
Slovakia,SVK,5000000.0,48105.0,0.1,100.0,28.2,46.6,0.855,0.848,10.0,6.73999977111816,3.79441055314645,3.02047175095616
Slovenia,SVN,2100000.0,20151.0,0.0,100.0,24.6,47.9,0.896,0.918,8.7,4.4229998588562,4.4225215682918,8.11455809854249
Solomon Islands,SLB,600000.0,27986.0,,73.3464813232422,-,-,0.546,0.564,31.4,1.02900004386902,3.94312375062317,-0.177260016223329
Somalia,SOM,15000000.0,627337.0,,49.7308692932129,-,-,-,-,6.6,19.8649997711182,7.6788798020291,3.33443080651648
South Africa,ZAF,57000000.0,1214470.0,,84.3855361938477,15.9,36.2,0.699,0.713,25.9,33.5589981079102,1.48761737271568,4.91460266078032
South Sudan,SSD,13000000.0,644329.0,,7.24133825302124,-,-,0.388,0.385,-,13.914999961853,,-
Spain,ESP,47000000.0,498980.0,0.6,100.0,36.0,52.3,0.891,0.905,19.4,14.7329998016357,2.28878567617447,5.1294551274826
Sri Lanka,LKA,21000000.0,64630.0,,100.0,33.8,46.8,0.77,0.782,5.0,5.39499998092651,3.27200047840022,3.65563225648573
Sudan,SDN,41000000.0,1861484.0,,55.3897018432617,-,39.6,0.502,0.508,13.3,19.8050003051758,-2.6809305497999,0.1145882139473
Suriname,SUR,600000.0,156000.0,,98.2047729492188,25.4,-,0.72,0.73,10.0,10.0649995803833,4.94827076559268,-3.47866419294991
Sweden,SWE,10000000.0,410335.0,0.2,100.0,28.0,50.5,0.933,0.947,7.1,8.66100025177002,1.95002284569983,4.80061158193283
Switzerland,CHE,8000000.0,39997.0,,100.0,34.3,60.1,0.944,0.962,4.6,5.32100009918213,2.91690509826611,3.69215262984311
Syria,SYR,18000000.0,183630.0,,89.1403198242188,19.1,-,0.536,0.577,14.3,10.5729999542236,1.47576647550751,-
Taiwan,TWN,24000000.0,32260.0,,,-,43.2,-,-,4.0,-,,
Tajikistan,TJK,9000000.0,141510.0,,99.779296875,34.2,55.2,0.65,0.685,10.8,7.75400018692017,7.59927884231854,9.2001904308498
Tanzania,TZA,57000000.0,885800.0,13.6,39.9000015258789,22.1,37.0,0.538,0.549,2.6,2.6489999294281,5.44496760087571,4.27908454176213
Thailand,THA,69000000.0,510890.0,0.0,100.0,37.3,52.9,0.755,0.8,0.6,1.41799998283386,4.22287028746071,1.5662953378874
Timor-Leste,TLS,1200000.0,14874.0,,96.1233139038086,-,-,0.625,0.607,4.0,5.07399988174438,-0.687542477354754,4.39999845848935
Togo,TGO,8000000.0,54385.0,8.5,53.9974327087402,13.2,37.3,0.503,0.539,6.8,4.00400018692017,4.97621309973984,5.26059492471809
Trinidad and Tobago,TTO,1400000.0,5128.0,,100.0,15.7,31.6,0.784,0.81,3.9,4.80499982833862,-0.706435308325041,-0.985307672969697
Tunisia,TUN,12000000.0,155360.0,,100.0,26.2,43.9,0.735,0.731,14.8,16.8239994049072,2.62482839473539,3.34280246868977
Turkiye,TUR,81000000.0,769632.0,0.0,100.0,26.4,41.3,0.791,0.838,10.3,13.3859996795654,2.97988523467896,10.9861809949254
Turkmenistan,TKM,6000000.0,469930.0,,100.0,14.6,33.0,0.706,0.745,8.6,5.08099985122681,6.19999994137119,6.3
Uganda,UGA,43000000.0,197100.0,13.7,42.0744171142578,19.4,44.8,0.516,0.525,2.3,2.93600010871887,6.30392378088412,3.37963342151906
Ukraine,UKR,45000000.0,579330.0,0.0,100.0,26.4,40.9,0.751,0.773,8.9,8.87899971008301,3.48836234022659,3.40000000000001
United Arab Emirates,ARE,9000000.0,83600.0,0.0,100.0,-,34.3,0.863,0.911,3.7,3.35800004005432,1.18985564163665,-6.13
United Kingdom,GBR,66000000.0,241930.0,,100.0,31.9,56.0,0.922,0.929,4.8,4.52600002288818,1.65092549602133,7.44127309273938
United States,USA,326000000.0,9147593.0,0.8,100.0,20.7,37.4,0.924,0.921,4.9,5.46400022506714,2.91885689667409,5.67110719074167
Uruguay,URY,3500000.0,175015.0,0.1,100.0,36.1,57.5,0.804,0.809,8.2,10.4469995498657,0.477907183899063,4.36700931298061
Uzbekistan,UZB,32000000.0,425400.0,,100.0,29.1,54.1,0.71,0.727,8.9,7.16099977493286,5.35499688821734,7.42011024158735
Venezuela,VEN,32000000.0,882050.0,,100.0,33.6,48.9,0.761,0.691,6.9,6.41300010681152,,-
Vietnam,VNM,96000000.0,310070.0,0.2,100.0,40.3,48.4,0.694,0.703,2.2,2.16599988937378,7.20000000000043,2.58892450154917
Yemen,YEM,28000000.0,527968.0,,73.757926940918,22.8,44.6,0.452,0.455,17.1,13.5740003585815,0.752447587579127,-2.0615130508999
Zambia,ZMB,17000000.0,743398.0,,44.5244750976563,25.2,34.4,0.588,0.565,7.5,13.0260000228882,4.03449389667165,3.57281530331926
Zimbabwe,ZWE,17000000.0,386847.0,13.5,52.7476692199707,22.1,28.6,0.535,0.593,5.1,5.17399978637695,4.82421053956361,5.84941976162474
